#CWE-114 Process Control
Attributes Submit Sandbox_dir Job
UI_GUI 2.00 1.54 1.54
Thirdparty 0.32 0.32 0.32
Tampering 0.15 1.83 1.83
User 1.61 0.52 3.05
Owner 3.63 0.52 1.52
Trust 1.64 1.64 0.69
