#CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
Attributes Submit Sandbox_dir Job
UI_GUI 2.33 1.81 1.81
Client_Server 0.40 0.70 0.70
DB_DNS_IDS_FW 3.16 0.77 0.77
User 1.96 0.67 3.58
Owner 4.23 0.67 1.86
Sanitize 1.01 2.42 2.42
