#CWE-78 Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
Attributes Submit Uam-ns Input.fl Sa-wm Output.fl Al-jc Condor_g Lrms Condor_startd Job
UI_GUI 2.33 1.81 1.81 1.81 1.81 1.81 1.81 1.81 1.81 1.81
DB_DNS_IDS_FW 3.16 0.77 0.77 0.77 0.77 0.77 0.77 0.77 0.77 0.77
Sanitize 1.01 1.01 1.01 2.42 2.42 2.42 2.42 2.42 2.42 2.42
Owner 4.23 4.23 4.23 4.23 3.59 4.23 4.23 4.23 3.59 1.86
Transfering 1.88 1.88 1.88 1.88 2.42 2.42 2.42 2.42 0.68 2.42
User 1.96 3.58 3.58 3.49 3.58 3.49 3.58 3.58 3.58 3.58
