#CWE-326 Inadequate Encryption Strength
Attributes Submit Uam-ns Input.fl Sa-wm Output.fl Al-jc Condor_g Lrms Condor_startd Job
Encryption 0.15 0.15 1.83 0.15 1.83 0.15 0.15 1.83 1.83 1.83
Transfering 1.61 1.61 1.61 1.61 2.08 2.08 2.08 2.08 0.52 2.08
