#CWE-73 External Control of File Name or Path
Attributes Submit Uam-ns Input.fl Sa-wm Output.fl Al-jc Condor_g Lrms Condor_startd Job
Owner 3.63 3.63 3.63 3.63 3.05 3.63 3.63 3.63 3.05 1.52
Trust 1.64 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69
Sanitize 0.83 0.83 0.83 2.08 2.08 2.08 2.08 2.08 2.08 2.08
User 1.61 3.05 3.05 3.00 3.05 3.00 3.05 3.05 3.05 3.05
