#CWE-212 Improper Cross-boundary Removal of Sensitive Data
Attributes Submit Wms proxy Workload manager Job controller (condor-g) Lrms Wn job
Trust 1.64 0.69 0.69 0.69 0.69 1.64
Transfering 1.61 1.61 1.61 1.61 1.61 1.61
