#CWE-780 Use of RSA Algorithm without OAEP
Attributes Submit Wms proxy Workload manager Job controller (condor-g) Lrms Wn job
Encryption 0.15 0.15 0.15 0.15 0.15 1.83
Trust 1.64 0.69 0.69 0.69 0.69 1.64
