#CWE-779 Logging of Excessive Data
Attributes Submit Uam-ns Input.fl Sa-wm Rs Bdii
MaxMin 1.05 1.05 1.05 1.05 0.26 0.26
Logs 1.35 0.44 0.44 1.35 0.44 0.44
