#CWE-250 Execution with Unnecessary Privileges
Attributes Submit Uam-ns Input.fl Sa-wm Rs Bdii
Owner 4.23 4.23 4.23 4.23 0.67 0.67
UI_GUI 2.33 1.81 1.81 1.81 1.81 1.81
Client_Server 0.40 0.70 0.70 0.70 0.70 0.70
User 1.96 3.58 3.58 3.49 3.49 3.49
